user_id,user_total_orders,user_avg_order_interval,user_std_order_interval,user_preferred_dow,user_preferred_hour,user_days_since_last_order,user_total_items,user_total_reorders,user_reorder_rate,user_unique_products,user_unique_departments,user_unique_aisles,user_avg_basket_size,cluster,segment_name
1,10,17.6,10.803291,1,7,30.0,59,41,0.6949,18,7,12,5.9,2,Occasional / At-Risk Shoppers
2,14,14.142858,10.316955,1,10,13.0,195,93,0.4769,102,13,33,13.93,0,Full-Pantry Bulk Shoppers
3,12,11.083333,6.200562,0,16,15.0,88,55,0.625,33,9,16,7.33,3,Routine Convenience Buyers
4,5,11.0,10.271319,4,11,0.0,18,1,0.0556,17,9,14,3.6,3,Routine Convenience Buyers
5,4,10.0,7.788881,3,18,19.0,37,14,0.3784,23,9,16,9.25,3,Routine Convenience Buyers
6,3,6.0,6.0,2,18,12.0,14,2,0.1429,12,5,8,4.67,3,Routine Convenience Buyers
7,20,10.15,9.045354,0,9,7.0,206,138,0.6699,68,12,34,10.3,1,High-Value Frequent Loyalists
8,3,20.0,17.320509,1,0,30.0,49,13,0.2653,36,6,16,16.33,2,Occasional / At-Risk Shoppers
9,3,12.0,15.874508,0,12,30.0,76,18,0.2368,58,13,26,25.33,0,Full-Pantry Bulk Shoppers
10,5,15.8,11.4105215,3,15,23.0,143,49,0.3427,94,9,26,28.6,0,Full-Pantry Bulk Shoppers
11,7,17.571428,12.43459,5,11,30.0,94,33,0.3511,61,12,35,13.43,2,Occasional / At-Risk Shoppers
12,5,20.0,12.961481,1,9,30.0,74,13,0.1757,61,14,33,14.8,2,Occasional / At-Risk Shoppers
13,12,7.0,2.923261,6,12,6.0,81,52,0.642,29,11,17,6.75,3,Routine Convenience Buyers
14,13,20.384615,12.318945,5,8,7.0,210,68,0.3238,142,17,52,16.15,0,Full-Pantry Bulk Shoppers
15,22,10.318182,5.222537,1,11,14.0,72,59,0.8194,13,3,8,3.27,3,Routine Convenience Buyers
16,6,18.166666,10.778064,1,14,26.0,70,24,0.3429,46,8,17,11.67,2,Occasional / At-Risk Shoppers
17,40,7.25,6.919871,1,12,27.0,294,211,0.7177,83,13,34,7.35,1,High-Value Frequent Loyalists
18,6,4.6666665,3.6696956,0,16,4.0,39,10,0.2564,29,9,20,6.5,3,Routine Convenience Buyers
19,9,8.444445,6.0023146,5,12,8.0,204,71,0.348,133,15,59,22.67,0,Full-Pantry Bulk Shoppers
20,4,3.75,3.304038,2,11,7.0,22,15,0.6818,7,2,6,5.5,3,Routine Convenience Buyers
21,33,9.606061,6.9952636,1,9,30.0,205,103,0.5024,102,12,38,6.21,2,Occasional / At-Risk Shoppers
