forecast_date,predicted_demand,lower_ci_95,upper_ci_95
2025-11-01,3819,0,13403
2025-11-02,3937,0,13918
2025-11-03,3800,0,14311
2025-11-04,4155,0,15160
2025-11-05,5006,0,16485
2025-11-06,4209,0,16142
2025-11-07,3864,0,16235
2025-11-08,3619,0,19089
2025-11-09,3755,0,20018
2025-11-10,3613,0,20729
2025-11-11,3955,0,21875
2025-11-12,4823,0,23515
2025-11-13,4030,0,23463
2025-11-14,3687,0,23833
2025-11-15,3438,0,26935
2025-11-16,3571,0,28171
2025-11-17,3429,0,29191
2025-11-18,3774,0,30639
2025-11-19,4639,0,32564
2025-11-20,3845,0,32791
2025-11-21,3501,0,33434
2025-11-22,3254,0,36402
2025-11-23,3387,0,37882
2025-11-24,3245,0,39133
2025-11-25,3589,0,40810
2025-11-26,4455,0,42963
2025-11-27,3661,0,43416
2025-11-28,3318,0,44280
2025-11-29,3070,0,47241
2025-11-30,3203,0,48926
